Smell,Rule,ErrorType,RepoName,FilePath,Line,error_category,notes
NMVP,R26,FN,567-labs/instructor,examples/logfire-fastapi/server.py,34,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,567-labs/instructor,examples/logfire-fastapi/server.py,35,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,567-labs/instructor,examples/logfire-fastapi/server.py,48,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,567-labs/instructor,examples/logfire-fastapi/server.py,49,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,567-labs/instructor,examples/logfire-fastapi/server.py,67,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,567-labs/instructor,examples/logfire-fastapi/server.py,68,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,Shubhamsaboo/awesome-llm-apps,advanced_ai_agents/single_agent_apps/ai_customer_support_agent/customer_support_agent.py,53,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,Shubhamsaboo/awesome-llm-apps,advanced_ai_agents/single_agent_apps/ai_customer_support_agent/customer_support_agent.py,54,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,Shubhamsaboo/awesome-llm-apps,advanced_ai_agents/single_agent_apps/ai_customer_support_agent/customer_support_agent.py,96,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,Shubhamsaboo/awesome-llm-apps,advanced_ai_agents/single_agent_apps/ai_customer_support_agent/customer_support_agent.py,97,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,fangyinc/DB-GPT,dbgpt/util/global_helper.py,253,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,fangyinc/DB-GPT,dbgpt/util/global_helper.py,254,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,huggingface/transformers,tests/models/aria/test_modeling_aria.py,489,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,huggingface/transformers,tests/models/aria/test_modeling_aria.py,490,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,huggingface/transformers,tests/models/aria/test_modeling_aria.py,494,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,huggingface/transformers,tests/models/aria/test_modeling_aria.py,495,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,huggingface/trl,trl/extras/vllm_client.py,517,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,huggingface/trl,trl/extras/vllm_client.py,529,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,intel/ipex-llm,python/llm/example/GPU/Lightweight-Serving/lightweight_serving.py,46,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,intel/ipex-llm,python/llm/example/GPU/Lightweight-Serving/lightweight_serving.py,47,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,run-llama/llama_index,llama-index-integrations/llms/llama-index-llms-ipex-llm/llama_index/llms/ipex_llm/base.py,231,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,run-llama/llama_index,llama-index-integrations/llms/llama-index-llms-ipex-llm/llama_index/llms/ipex_llm/base.py,232,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,ucsb-mlsec/VulnLLM-R,vulscan/train/LLaMA-Factory/src/llamafactory/model/loader.py,78,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,ucsb-mlsec/VulnLLM-R,vulscan/train/LLaMA-Factory/src/llamafactory/model/loader.py,79,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,ucsb-mlsec/VulnLLM-R,vulscan/train/LLaMA-Factory/src/llamafactory/model/loader.py,86,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FN,zilliztech/GPTCache,examples/processor/temperature_example.py,33,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NMVP,R26,FP,zilliztech/GPTCache,examples/processor/temperature_example.py,34,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,567-labs/instructor,examples/logfire-fastapi/server.py,34,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FP,567-labs/instructor,examples/logfire-fastapi/server.py,35,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,567-labs/instructor,examples/logfire-fastapi/server.py,48,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,567-labs/instructor,examples/logfire-fastapi/server.py,67,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FP,567-labs/instructor,examples/logfire-fastapi/server.py,68,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,23,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,24,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,38,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,39,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,62,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,63,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,83,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,84,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,108,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,109,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,135,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,136,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,163,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,164,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,SafeRL-Lab/AccidentBench,lmms_eval/tasks/mathverse/mathverse_evals.py,21,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,Shubhamsaboo/awesome-llm-apps,advanced_ai_agents/single_agent_apps/ai_customer_support_agent/customer_support_agent.py,36,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,Shubhamsaboo/awesome-llm-apps,advanced_ai_agents/single_agent_apps/ai_customer_support_agent/customer_support_agent.py,53,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,Shubhamsaboo/awesome-llm-apps,advanced_ai_agents/single_agent_apps/ai_customer_support_agent/customer_support_agent.py,96,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
TNES,R25,FN,vllm-project/vllm,examples/pooling/embed/openai_embedding_client.py,17,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,23,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,24,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,38,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,39,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,62,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,63,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,83,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,84,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,108,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,135,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,163,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSO,R29,FN,SafeRL-Lab/AccidentBench,lmms_eval/tasks/mathverse/mathverse_evals.py,47,control-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,567-labs/instructor,examples/logfire-fastapi/server.py,34,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,567-labs/instructor,examples/logfire-fastapi/server.py,48,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,567-labs/instructor,examples/logfire-fastapi/server.py,67,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
